instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_of_day
23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Evening
24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Evening
25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Night
26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Night
27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Night
28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Night
29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Night
30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Morning
31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Morning
32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Morning
33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Morning
34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Morning
35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Morning
36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Afternoon
37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Afternoon
38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Afternoon
39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Afternoon
40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Afternoon
41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Afternoon
42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Evening
43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Evening
44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Evening
45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Evening
46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Evening
47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Evening
48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Night
49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Night
50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Night
51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Night
52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Morning
53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Morning
54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Morning
55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Morning
56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Morning
57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Morning
58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Afternoon
59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Afternoon
60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Afternoon
61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Afternoon
62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Afternoon
63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Afternoon
64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Evening
65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Evening
66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Evening
67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Evening
68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Evening
69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Evening
70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Night
71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Night
72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Night
73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Night
74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Night
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Morning
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Morning
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Morning
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Morning
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Morning
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Morning
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Afternoon
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Afternoon
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Afternoon
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Afternoon
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Afternoon
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Afternoon
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Evening
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Evening
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Evening
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Evening
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Evening
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Evening
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Night
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Night
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Night
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Night
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Night
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Morning
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Morning
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Morning
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Morning
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Morning
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Morning
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Afternoon
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Afternoon
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Afternoon
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Afternoon
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Afternoon
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Afternoon
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Evening
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Evening
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Evening
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Evening
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Evening
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Evening
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Night
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Night
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Night
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Night
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Night
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Morning
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Morning
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Morning
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Morning
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Morning
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Morning
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Afternoon
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Afternoon
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Afternoon
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Afternoon
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Afternoon
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Afternoon
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Evening
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Evening
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Evening
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Evening
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Evening
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Evening
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Night
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Night
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Night
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Night
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Night
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Morning
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Morning
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Morning
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Morning
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Morning
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Morning
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Afternoon
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Afternoon
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Afternoon
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Afternoon
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Afternoon
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Afternoon
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Evening
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Evening
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Evening
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Evening
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Evening
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Evening
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Night
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Night
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Night
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Night
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Night
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Night
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Morning
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Morning
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Morning
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Morning
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Morning
173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Morning
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Afternoon
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Afternoon
176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Afternoon
177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Afternoon
178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Afternoon
179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Afternoon
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Evening
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Evening
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Evening
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Evening
184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Evening
185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Evening
186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Night
187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Night
188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Night
189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Night
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Night
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Night
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Morning
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Morning
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Morning
195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Morning
196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Morning
197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Morning
198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Afternoon
199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Afternoon
200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Afternoon
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Afternoon
202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Afternoon
203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Afternoon
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Evening
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Evening
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Evening
207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Evening
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Evening
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Evening
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Night
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Night
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Night
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Night
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Night
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Night
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Morning
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Morning
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Morning
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Morning
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Morning
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Morning
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Afternoon
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Afternoon
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,Afternoon
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,Afternoon
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Afternoon
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Afternoon
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,Evening
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Evening
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Evening
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,Evening
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Evening
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Evening
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Night
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Night
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,Night
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Night
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Morning
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Morning
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,Morning
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,Morning
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,Morning
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,Morning
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,Afternoon
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,Afternoon
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,Afternoon
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,Afternoon
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,Afternoon
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,Afternoon
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,Evening
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,Evening
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,Evening
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,Evening
254,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,Evening
255,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,Evening
256,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,Night
257,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,Night
258,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,Night
259,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,Night
260,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,Morning
261,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,Morning
262,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,Morning
263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,Morning
264,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,Morning
265,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,Morning
266,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,Afternoon
267,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,Afternoon
268,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,Afternoon
269,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,Afternoon
270,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,Afternoon
271,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,Afternoon
272,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,Evening
273,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,Evening
274,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,Evening
275,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,Evening
276,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,Evening
277,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20,Evening
278,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,Night
279,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,Night
280,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,Night
281,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3,Night
282,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4,Night
283,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3,Night
284,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28,Morning
285,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72,Morning
286,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,Morning
287,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,Morning
288,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38,Morning
289,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37,Morning
290,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52,Afternoon
291,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83,Afternoon
292,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42,Afternoon
293,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60,Afternoon
294,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78,Afternoon
295,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162,Afternoon
296,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144,Evening
297,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99,Evening
298,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64,Evening
299,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40,Evening
300,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30,Evening
301,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15,Evening
